PUMA,State,Population,Median Household Income,Median Age,Percent Aged 60 or Older
100,29,111338,36273.168,40,0.2545581921715856
200,29,119372,36273.168,38,0.21479911537043864
300,29,125163,34848.99,39,0.23878462484919666
400,29,143601,38288.344,38,0.21104309858566445
500,29,150562,37826.653999999995,38,0.20984046439340603
600,29,172841,31692.601999999995,30,0.15329696079055316
700,29,135120,36776.962,38,0.227301657785672
800,29,139717,43756.23759999999,36,0.21128423885425537
901,29,111351,63929.272999999994,37,0.17572361272013723
902,29,111031,57142.106199999995,36,0.1964676531779413
903,29,105887,68641.95,37,0.1841869162408983
1001,29,167522,31832.536199999995,34,0.16892706629577012
1002,29,128211,43297.229999999996,40,0.24039279001021754
1003,29,132549,62507.405,36,0.18482221668967702
1004,29,104923,79202.25,37,0.18591729172821975
1005,29,150773,42938.364,34,0.19166561652285224
1100,29,118071,54913.56,39,0.22350958321687797
1200,29,123940,35265.58,42,0.25692270453445215
1300,29,111285,31333.311999999998,43,0.2719593835647212
1400,29,143100,35781.97,36,0.22961565338923828
1500,29,108613,32817.1782,39,0.24565199377606733
1600,29,101991,49271.053199999995,40,0.21836240452588954
1701,29,110825,85168.94399999999,38,0.19002932551319648
1702,29,137192,81113.28,36,0.16933932007697242
1703,29,131734,56327.606700000004,38,0.21187392776352346
1801,29,119922,38318.854699999996,36,0.19891262654058472
1802,29,127239,45626.22,36,0.19698362923317536
1803,29,108223,38426.1746,37,0.20831985807083522
1804,29,113454,80606.32199999999,42,0.2547287887602024
1805,29,117971,63951.272,40,0.24255961210806046
1806,29,115812,80532.6777,42,0.24471557351569787
1807,29,160650,59560.092,41,0.24832244008714596
1808,29,137218,74804.548,44,0.251264411374601
1901,29,126897,20898.031799999997,34,0.18977596003057598
1902,29,188563,42241.2,35,0.16510662218993122
2001,29,110707,59137.68,37,0.1862483853776184
2002,29,111777,51192.2695,40,0.20227774944756077
2100,29,128730,28389.647999999997,40,0.22147906470908102
2200,29,129271,36804.312,37,0.22114782124374377
2300,29,110972,30417.48,40,0.23649208809429406
2400,29,105545,30751.4836,42,0.25957648396418587
2500,29,126414,28625.576,43,0.2719793693736453
2601,29,158008,46651.3244,38,0.20650853121360943
2602,29,121220,20278.32,31,0.17158884672496288
2603,29,125121,46761.8283,38,0.23898466284636471
2700,29,143171,34004.166,43,0.2791766489023615
2800,29,176054,40151.0736,36,0.20985606688856828
State,29,6059651,41916.022,38,0.21509836127526155
